customer_id,full_name,total_spent,transaction_count,days_since_registration,avg_order_value
CUST0001,Michael Coleman,229237.37,12,524,5331.1
CUST0002,Spencer Landry,134218.36,11,522,4329.62
CUST0003,Jenna Goodman,187692.32,11,547,4939.27
CUST0004,Amy Baker,66702.1,8,728,3510.64
CUST0005,Michele Martin,64745.4,5,69,4980.42
CUST0006,Monica Smith,193618.31,12,729,5232.93
CUST0007,Kathryn Wallace,33006.41,6,508,3000.58
CUST0008,Robert Hernandez,159740.56,13,422,4698.25
CUST0009,Tyler Anderson,92150.47,8,31,4850.02
CUST0010,Jason Jones,117501.44,8,132,5875.07
CUST0011,Bradley Meyer,135512.62,6,677,5212.02
CUST0012,Patrick Hale,181059.79,10,74,5658.12
CUST0013,Jonathan Anderson,101584.65,9,138,4416.72
CUST0014,Carrie Jackson,81115.82,9,195,3687.08
CUST0015,Kelly Porter,133757.53,10,309,4458.58
CUST0016,Heather Taylor,128173.93,12,113,3769.82
CUST0017,Morgan Crane,100032.97,9,300,5001.65
CUST0018,Carol Morris,115325.71,11,221,3720.18
CUST0019,Joseph Daniels,77095.13,8,167,4283.06
CUST0020,Tyler Bryant,80473.07,6,43,5029.57
CUST0021,Kaitlin Bennett,136961.13,9,70,3804.48
CUST0022,Henry Parks,152608.6,13,57,3913.04
CUST0023,Colton Hull,96790.63,7,628,4208.29
CUST0024,Nicholas Morris,122882.31,8,3,5342.71
CUST0025,Edward Wilson,144416.67,11,393,4813.89
CUST0026,Heather Murphy,161672.41,9,471,5389.08
CUST0027,Hannah Roberson,207661.68,11,524,5464.78
CUST0028,Phillip Mcintyre,149048.15,9,455,5139.59
CUST0029,Heather Foley,33943.37,2,124,6788.67
CUST0030,Steven Acosta,80349.06,5,251,5356.6
CUST0031,Michelle Baker,154371.77,9,46,4824.12
CUST0032,Cindy Edwards,97704.93,8,251,4441.13
CUST0033,Michael Williams,88190.12,7,375,3674.59
CUST0034,Jonathan Davis,123553.86,13,702,4260.48
CUST0035,Joseph Hale,78051.87,5,655,5203.46
CUST0036,Michelle Solis,114758.36,8,494,3825.28
CUST0037,Gary Turner,92077.74,8,342,4003.38
CUST0038,Cindy Campos,137845.55,10,643,4054.28
