customer_id,first_name,last_name,email,phone,registration_date,city,state,country,age_group
CUST0001,Michael,Coleman,customer1@example.com,1812707687875,2024-07-15,Wolfhaven,Arizona,India,46-60
CUST0002,Spencer,Landry,customer2@example.com,8926454694055,2024-07-17,Christopherbury,Louisiana,India,46-60
CUST0003,Jenna,Goodman,customer3@example.com,7347783157847,2024-06-22,Lake Sarahborough,New Hampshire,India,18-25
CUST0004,Amy,Baker,customer4@example.com,3091606831451,2023-12-24,Jacksonshire,Illinois,India,18-25
CUST0005,Michele,Martin,customer5@example.com,0680918944064,2025-10-13,Nancyfurt,Iowa,India,46-60
CUST0006,Monica,Smith,customer6@example.com,1171530028032,2023-12-23,Paultown,Nebraska,India,36-45
CUST0007,Kathryn,Wallace,customer7@example.com,7639431833826,2024-07-31,Jasonfort,Utah,India,60+
CUST0008,Robert,Hernandez,customer8@example.com,8985255700413,2024-10-25,North Matthew,Alabama,India,18-25
CUST0009,Tyler,Anderson,customer9@example.com,8460846574375,2025-11-20,Gonzalezside,South Carolina,India,26-35
CUST0010,Jason,Jones,customer10@example.com,3299619066410,2025-08-11,Trevinoshire,Wisconsin,India,36-45
CUST0011,Bradley,Meyer,customer11@example.com,7827655770275,2024-02-13,Guerramouth,Colorado,India,26-35
CUST0012,Patrick,Hale,customer12@example.com,2095509413869,2025-10-08,Beltranland,Georgia,India,26-35
CUST0013,Jonathan,Anderson,customer13@example.com,3983400026673,2025-08-05,Beckershire,Iowa,India,26-35
CUST0014,Carrie,Jackson,customer14@example.com,4059768070687,2025-06-09,Andrewburgh,Delaware,India,46-60
CUST0015,Kelly,Porter,customer15@example.com,8225502217640,2025-02-15,West Alan,Connecticut,India,60+
CUST0016,Heather,Taylor,customer16@example.com,5440468391774,2025-08-30,Wayneberg,Nevada,India,36-45
CUST0017,Morgan,Crane,customer17@example.com,3286873239474,2025-02-24,Andrewside,Alabama,India,36-45
CUST0018,Carol,Morris,customer18@example.com,9394726405426,2025-05-14,Port Edwardland,Minnesota,India,60+
CUST0019,Joseph,Daniels,customer19@example.com,5428709955128,2025-07-07,Johnsonburgh,Nevada,India,60+
CUST0020,Tyler,Bryant,customer20@example.com,3059595576939,2025-11-08,Michaelfort,Ohio,India,36-45
CUST0021,Kaitlin,Bennett,customer21@example.com,2448315532873,2025-10-12,Rachelberg,Minnesota,India,18-25
CUST0022,Henry,Parks,customer22@example.com,4694649498265,2025-10-25,Andrewland,Connecticut,India,46-60
CUST0023,Colton,Hull,customer23@example.com,6031471988016,2024-04-02,North Brandy,Oklahoma,India,36-45
CUST0024,Nicholas,Morris,customer24@example.com,5298487117946,2025-12-18,South Jordan,Indiana,India,26-35
CUST0025,Edward,Wilson,customer25@example.com,9465847769302,2024-11-23,Burnsland,Iowa,India,60+
CUST0026,Heather,Murphy,customer26@example.com,8614489960989,2024-09-06,Wendyville,Connecticut,India,36-45
CUST0027,Hannah,Roberson,customer27@example.com,3023237762106,2024-07-15,Deannaburgh,Delaware,India,26-35
