customer_id,first_name,last_name,email,phone,registration_date,city,state,country,age_group
CUST0001,Marcia,Adams,customer1@example.com,3682595555532,2025-12-03,Davidside,Nevada,India,18-25
CUST0002,Kimberly,Long,customer2@example.com,3476025335434,2024-08-17,Chrismouth,Pennsylvania,India,18-25
CUST0003,Brooke,Payne,customer3@example.com,2359341662682,2025-02-27,Moralesborough,Washington,India,26-35
CUST0004,Joseph,Bates,customer4@example.com,0988927642010,2025-12-05,South Jennifer,Colorado,India,36-45
CUST0005,Carol,Lindsey,customer5@example.com,0862617514809,2024-12-21,Butlerfurt,New Mexico,India,60+
CUST0006,Richard,Munoz,customer6@example.com,6312643530579,2025-08-04,Lake Raymondshire,Georgia,India,60+
CUST0007,James,Fox,customer7@example.com,2866539900473,2025-03-10,South Brianhaven,Arkansas,India,60+
CUST0008,Jessica,Nelson,customer8@example.com,9312283007393,2024-09-28,Lake Jay,Colorado,India,60+
CUST0009,Philip,Price,customer9@example.com,2045762399819,2024-03-19,Reginatown,Utah,India,36-45
CUST0010,Tami,Anderson,customer10@example.com,5680569533972,2024-06-19,East Margaretside,Nevada,India,36-45
CUST0011,Kathy,Williamson,customer11@example.com,8053412957988,2024-04-05,Smithbury,Missouri,India,18-25
CUST0012,Marissa,Richardson,customer12@example.com,2254862463415,2025-01-22,North Charlesshire,Virginia,India,26-35
CUST0013,Thomas,Lewis,customer13@example.com,1210468921033,2025-03-24,New Adam,Delaware,India,46-60
CUST0014,Tonya,Nguyen,customer14@example.com,4480166510181,2024-10-17,East Ryan,Wisconsin,India,26-35
CUST0015,John,Reed,customer15@example.com,4198363449750,2024-10-20,North Christophershire,Colorado,India,26-35
CUST0016,Blake,Riley,customer16@example.com,4335296622028,2024-07-16,New Anthonymouth,West Virginia,India,60+
CUST0017,Daniel,Murray,customer17@example.com,3405138502611,2024-06-17,Lake Katherine,Nebraska,India,36-45
CUST0018,Jason,Watts,customer18@example.com,2567887366837,2024-07-28,Austinborough,Ohio,India,46-60
CUST0019,Eduardo,Brooks,customer19@example.com,1074060249354,2024-07-04,New Kathleen,New Mexico,India,36-45
CUST0020,Nicole,Scott,customer20@example.com,7720343465590,2025-02-11,Timothyshire,Wisconsin,India,60+
CUST0021,Laura,Powers,customer21@example.com,2398813086359,2024-03-25,Jaystad,Louisiana,India,46-60
CUST0022,Ellen,Harper,customer22@example.com,1225620788037,2025-05-13,Kellymouth,Oregon,India,26-35
CUST0023,Jeffrey,Davis,customer23@example.com,5317764031946,2024-03-29,Lake Melissamouth,Tennessee,India,36-45
CUST0024,Dustin,Stewart,customer24@example.com,4258657224542,2024-06-13,Lunamouth,Kentucky,India,60+
CUST0025,Vincent,Molina,customer25@example.com,7272208681910,2024-03-05,Lake Rachelfort,New York,India,60+
CUST0026,Alexander,Thomas,customer26@example.com,4953887883730,2025-12-24,North Barbara,Virginia,India,46-60
CUST0027,Ronald,Ramirez,customer27@example.com,9903251436028,2025-08-23,Port Brittney,Arkansas,India,36-45
CUST0028,Christina,Scott,customer28@example.com,0286514826905,2025-07-17,Alexandermouth,West Virginia,India,46-60
CUST0029,Sean,Nelson,customer29@example.com,6183476244102,2025-10-18,New Rachel,Connecticut,India,26-35
CUST0030,Rachel,Griffin,customer30@example.com,4006314589909,2025-02-23,Port Andrea,Indiana,India,26-35
CUST0031,Michael,Orozco,customer31@example.com,9201677463173,2025-12-21,Cooktown,Washington,India,46-60
CUST0032,Nicole,Johnson,customer32@example.com,4131764277237,2024-06-25,Rossburgh,Nebraska,India,60+
CUST0033,Jeremy,Garrison,customer33@example.com,6925249917830,2025-05-28,New Jamesside,Minnesota,India,60+
CUST0034,Mike,Rush,customer34@example.com,0554169135485,2024-09-30,South Catherine,North Carolina,India,46-60
CUST0035,Stacey,Brown,customer35@example.com,3424140298829,2025-02-02,West Brett,Maine,India,18-25
CUST0036,Phillip,Mason,customer36@example.com,5601437142702,2024-07-13,Davisfort,Oregon,India,18-25
CUST0037,Michael,Love,customer37@example.com,7148364571746,2025-04-13,Hardinville,South Carolina,India,36-45
CUST0038,Tammy,Branch,customer38@example.com,7373686869373,2025-06-13,Singletonland,Nebraska,India,60+
CUST0039,Dawn,Mckay,customer39@example.com,2804783050251,2025-06-13,East Michele,Maryland,India,26-35
CUST0040,Angela,Franco,customer40@example.com,2750100390984,2025-07-30,Lake Jasonberg,Missouri,India,46-60
CUST0041,Patrick,Morales,customer41@example.com,1908188064874,2024-08-15,Hutchinsonhaven,Colorado,India,60+
CUST0042,Nicole,Aguilar,customer42@example.com,5943779730981,2025-09-23,South Juanmouth,Michigan,India,26-35
CUST0043,Kristen,Fisher,customer43@example.com,8816026017850,2024-11-21,Butlerville,Ohio,India,26-35
CUST0044,Annette,Fitzgerald,customer44@example.com,1246464378813,2024-10-12,Lake Kelseyport,Oregon,India,26-35
CUST0045,Susan,Mahoney,customer45@example.com,6453431799827,2025-03-08,Meganland,West Virginia,India,60+
